ano,servico,consorcio,km_apurada,receita_total_esperada,receita_tarifaria_esperada,subsidio_esperado,subsidio_glosado,receita_total_aferida,receita_tarifaria_aferida,subsidio_pago,saldo,versao,datetime_ultima_atualizacao,id_execucao_dbt
2025,326,Internorte,280262.542000000,,1343831.053180000,,,,1579817.780000000,,235986.726820000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,685,Internorte,262804.546000000,,1259911.272840000,,,,1729381.340000000,,469470.067160000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,LECD108,Internorte,112656.236000000,,540176.077540000,,,,374647.890000000,,-165528.187540000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,627,Internorte,166079.760000000,,796345.586400000,,,,844348.740000000,,48003.153600000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,292,Internorte,379757.996000000,,1820862.518240000,,,,2019908.120000000,,199045.601760000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,628,Internorte,133739.460000000,,641207.158200000,,,,1043498.210000000,,402291.051800000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,SR355,Internorte,38811.918000000,,186404.600020000,,,,36205.200000000,,-150199.400020000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,SV917,Internorte,174527.920000000,,836770.247600000,,,,1066593.650000000,,229823.402400000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,SN298,Internorte,38594.944000000,,185078.151360000,,,,64003.850000000,,-121074.301360000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,SPA483,Internorte,15999.102000000,,76709.407180000,,,,189825.360000000,,113115.952820000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
